pcode,pname,l_pname,dcode,dname,l_dname,vcode,vname,l_vname
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101001,Nongping,ໜອງປິງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101002,Bonangoua,ບໍ່ນາງົວ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101003,Houyhong,ຫ້ວຍຫົງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101004,Phonsavang,ໂພນສະຫ່ວາງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101005,Nongtha-Nua,ໜອງທາເໜືອ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101006,Nongtha-Tai,ໜອງທາໃຕ້
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101007,Dondeng,ດອນແດງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101008,Phontongsavat,ໂພນຕ້ອງສະຫວາດ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101009,Dongpalep,ດົງປ່າແຫຼບ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101010,Phontongchommani,ໂພນຕ້ອງຈອມມະນີ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101011,Hongxeng,ຮ່ອງແຊງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101012,Hongkaikeo,ຮ່ອງໄກ່ແກ້ວ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101013,Thongsangnang,ທົ່ງສ້າງນາງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101014,Savang,ສະຫ່ວາງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101015,Hongkha,ຮ່ອງຄ້າ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101016,Thongtoum,ທົ່ງຕູມ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101017,Dongmiang,ດົງໝ້ຽງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101018,Sidamdouan,ສີດຳດວນ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101019,Sibounhuang,ສີບຸນເຮືອງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101020,Khoualouang,ຂົວຫຼວງ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101021,Sisavat,ສີສະຫວາດ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101022,Thongkhankham,ທົ່ງຂັນຄຳ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101023,Sihom,ສີຫອມ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101024,Anou,ອານຸ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101026,Hatsadi,ຫັດສະດີ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101029,Haysok,ຫາຍໂສກ
01,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,0101,Chanthabuly,ຈັນທະບູລີ,0101030,Saylom,ສາຍລົມ
